sequenceID	association
LQ870219	VOYAGER
LQ870393	VOYAGER
JA062743	UNIVERSITY OF PENNSYLVANIA
OF485205	VOYAGER
MB418613	VOYAGER
JA231994	UNIVERSITY OF PENNSYLVANIA
JA232230	UNIVERSITY OF PENNSYLVANIA
PE100707	VOYAGER
JA400280	UNIVERSITY OF PENNSYLVANIA
JA231998	UNIVERSITY OF PENNSYLVANIA
JA062747	UNIVERSITY OF PENNSYLVANIA
JA400284	UNIVERSITY OF PENNSYLVANIA
JA232234	UNIVERSITY OF PENNSYLVANIA
LQ870498	VOYAGER
PE100757	VOYAGER
MB418663	VOYAGER	
MK139245	La Bella et al
MK139277	La Bella et al
MK139273	La Bella et al	
MK139254	La Bella et al
MK139268	La Bella et al
LQ870247	VOYAGER
OF485140	VOYAGER
MT709014	Cabanes-Creus et al
MK139266	La Bella et al
MK139256	La Bella et al
MK163933	La Bella et al
MK139285	La Bella et al
MK139276	La Bella et al
MK163929	La Bella et al
MK139246	La Bella et al
JB292191	UNIV NORTH CAROLINA
LY408700	UNIQURE
LX153648	UNIQURE
MK163936	La Bella et al
MK139267	La Bella et al	
MN765178	Tanzanian children	
MK139279	La Bella et al
MN765175	Tanzanian children
PE100633	VOYAGER
LQ870221	VOYAGER
MB418539	VOYAGER
OF485131	VOYAGER
PE100631	VOYAGER
MB418537	VOYAGER
LQ870217	VOYAGER
OF485128	VOYAGER
PF100632	BIOMARIN
MB418538	VOYAGER
OF485130	VOYAGER	
PF121046	TENAYA
OM451154	He et al
AF028704	Rutledge et al
FB292926	UNIVERSITY OF PENNSYLVANIA
JB292186	UNIV NORTH CAROLINA
MK139245	La Bella et al
MK139277	La Bella et al
MK139273	La Bella et al
MK139254	La Bella et al
MK139268	La Bella et al
MT709008	Cabanes-Creus et al
LQ396105	UNIV ARKANSAS 
MT709012	Cabanes-Creus et al
MK139297	La Bella et al
LQ870498	VOYAGER
PE100757	VOYAGER
MB418663	VOYAGER
OF485255	VOYAGER	
PE100598	VOYAGER
MB418504	VOYAGER
LQ870148	LQ870498	
OF283701	VOYAGER	
LQ870514	VOYAGER
PE100765	VOYAGER
MB418671	VOYAGER
OF485263	VOYAGER	
ON755355	Nambiar et al
MT709012	Cabanes-Creus et al
JA062750	UNIVERSITY OF PENNSYLVANIA
PE100700	VOYAGER
LQ870380	VOYAGER
JA232237	UNIVERSITY OF PENNSYLVANIA
JA232001	UNIVERSITY OF PENNSYLVANIA
PE100752	VOYAGER
LQ870485	VOYAGER
MB418658	VOYAGER
OF485250	VOYAGER
LQ870502	VOYAGER
PE100759	VOYAGER
MB418665	VOYAGER
OF485257	VOYAGER
LQ870154	VOYAGER
PE100601	VOYAGER
PE100753	VOYAGER
LQ870487	VOYAGER
OF485251	VOYAGER
MB418659	VOYAGER
LQ870489	VOYAGER
MB418660	VOYAGER
PE100754	VOYAGER
OF485252	VOYAGER
LQ870504	VOYAGER
MB418666	VOYAGER
PE100760	VOYAGER
OF485258	VOYAGER
MT709008	Cabanes-Creus et al
AY631966	Mori et al
MK163937	La Bella et al
MK139271	La Bella et al
MK139262	La Bella et al
MK139284	La Bella et al
OF485129	VOYAGER
PE100630	VOYAGER
MB418536	VOYAGER
DQ813647	Schmidt et al
NC_001829	Chiorini et  al
LQ870160	VOYAGER
MB418510	VOYAGER
PE100604	VOYAGER
OF485103	VOYAGER	
MB418513	VOYAGER	
PE100607	VOYAGER
LQ870166	VOYAGER
OF485106	VOYAGER
MB418511	VOYAGER
LQ870162	VOYAGER
OF485104	VOYAGER
PE100605	VOYAGER
OF485104	VOYAGER
PE100606	VOYAGER
MB418512	VOYAGER
OF485105	VOYAGER
LQ870395	VOYAGER
OF485206	VOYAGER
MB418614	VOYAGER
LQ870184	VOYAGER
LX153641	UNIQURE
LY408693	Lubelski et al
LY833223	VOYAGER
MB418521	VOYAGER
LF643462	CHILDREN'S HOSPITAL INC
MD729635	CHILDREN'S HOSPITAL INC
LG168865	CHILDREN'S HOSPITAL INC
LQ870160	VOYAGER
ON755364	Nambiar et al
AX753250	UNIVERSITY OF PENNSYLVANIA
AF043303	Ruffing et al
AX135805	UNIVERSITY OF ARKANSAS
MK139243	La Bella et al
MK139247	La Bella et al
MK139248	La Bella et al
MK139250	La Bella et al
MK139251	La Bella et al
MK139253	La Bella et al
MK139258	La Bella et al
MK139259	La Bella et al
MK139261	La Bella et al
MK139263	La Bella et al
MK139264	La Bella et al
MK139265	La Bella et al
MK139269	La Bella et al
MK139270	La Bella et al
MK139272	La Bella et al
MK139274	La Bella et al
MK139275	La Bella et al
MK139278	La Bella et al
MK139280	La Bella et al
MK139281	La Bella et al
MK139282	La Bella et al
MK139283	La Bella et al
MK139286	La Bella et al
MK139287	La Bella et al
MK139288	La Bella et al
MK139289	La Bella et al
MK139291	La Bella et al
MK139292	La Bella et al
MK139293	La Bella et al
MK139294	La Bella et al
MK139295	La Bella et al
MK139298	La Bella et al
MK139299	La Bella et al
MK163931	La Bella et al
MK163932	La Bella et al
MK163935	La Bella et al
MK163938	La Bella et al
MK163939	La Bella et al
MK163942	La Bella et al
MN765173	Tanzanian children
MN765174	Tanzanian children
MN765176	Tanzanian children
MN765177	Tanzanian children
MN765179	Tanzanian children
MN765180	Tanzanian children
MN765181	Tanzanian children
MN765182	Tanzanian children
MP372428	UNIV CHILE
MT709009	Cabanes-Creus et al
OF078830	Oxford University Innovation Limited
OF283677	VOYAGER
OF485073	VOYAGER
OF485074	VOYAGER
OF485147	VOYAGER
OF485200	VOYAGER
OF485202	VOYAGER
OP019741	Ho et al
OP019742	Ho et al	
OP019743	Ho et al	
OP019744	Ho et al	
OP019745	Ho et al	
OP019746	Ho et al	
OP019747	Ho et al	
OP019748	Ho et al	
OP019749	Ho et al	
OP161114	Morfopoulou et al
OP161115	Morfopoulou et al
OP161116	Morfopoulou et al
OP161117	Morfopoulou et al
OP161118	Morfopoulou et al
OP161119	Morfopoulou et al
OP161120	Morfopoulou et al
OP161121	Morfopoulou et al
OP161122	Morfopoulou et al
OP161123	Morfopoulou et al
OP161124	Morfopoulou et al
OP161125	Morfopoulou et al
OP161126	Morfopoulou et al
OP161127	Morfopoulou et al
OP161128	Morfopoulou et al
OP161129	Morfopoulou et al
OP161130	Morfopoulou et al
OP161131	Morfopoulou et al
OP161132	Morfopoulou et al
OP161133	Morfopoulou et al
OP161134	Morfopoulou et al
OQ130187	Lamson et al
OR119757	Leiden University Patient 5
OR129877	Leiden University Patient 5
OR129878	Leiden University Patient 5
OR129879	Leiden University Patient 5
PE100573	VOYAGER
PE100574	VOYAGER
PE100649	VOYAGER
PE100702	VOYAGER
PE100704	VOYAGER
PE468519	VOYAGER
PE468520	VOYAGER	
PP621512	Yu et al
NC_001401	Cao et al
AF063497	Xiao et al
AX753251	UNIVERSITY OF PENNSYLVANIA
DI39376c	ASSOCIATION INSTITUT DE MYOLOGIE
FB292908	UNIVERSITY OF PENNSYLVANIA
HW608043	ASSOCIATION INSTITUT DE MYOLOGIE
JB292180	UNIV NORTH CAROLINA
JC278188	ASSOCIATION INSTITUT DE MYOLOGIE
JC285043	ASSOCIATION INSTITUT DE MYOLOGIE
LQ870089	VOYAGER
LX153636	UNIQURE
LY408688	UNIQURE
LZ233295	ASSOCIATION INSTITUT DE MYOLOGIE
AY631966	Mori et al
J01901	Samulski et al
JA062738	UNIVERSITY OF PENNSYLVANIA
JA062741	UNIVERSITY OF PENNSYLVANIA
JA062742	UNIVERSITY OF PENNSYLVANIA
JA231989	Gao et al
JA231992	Gao et al
JA231993	Gao et al
JA232225	Gao et al
JA232228	Gao et al
JA232229	Gao et al
JA400275	Gao et al
JA400278	Gao et al
JA400279	Gao et al
JA793972	ISIS INNOVATION
JB292181	UNIV NORTH CAROLINA
KY271943	Marine et al
LQ396099	UNIV ARKANSAS
LQ864733	UNIV CHILE
LQ870099	VOYAGER
LQ870100	VOYAGER
LQ870275	VOYAGER
LQ870383	VOYAGER
LQ870386	VOYAGER
LQ999771	UNIV OXFORD INNOVATION 
LX153637	UNIQURE
LY408689	UNIQURE
LY833184	VOYAGER
LZ990128	ISIS INNOVATION
MB418479	VOYAGER
MB418480	VOYAGER
MB418555	VOYAGER
MB418608	VOYAGER
MB418610	VOYAGER
BD094552	TAKARA SHUZO CO
MB418473	VOYAGER
OF116274	ASSOCIATION INSTITUT DE MYOLOGIE
OF485067	VOYAGER
ON755350	Nambiar et al
PA554130	ASSOCIATION INSTITUT DE MYOLOGIE
PE100567	VOYAGER
PE468513	VOYAGER
NC_002077	Xiao et al
AX282480	NEUROLOGIX
AX286292	BTG INTERNATIONAL LIMITED
JB292190	UNIV NORTH CAROLINA
LQ870508	VOYAGER
LQ870510	VOYAGER
LX153646	UNIQURE
LY408698	UNIQURE
MB418668	VOYAGER
MB418669	VOYAGER
OF485260	VOYAGER
OF485261	VOYAGER
ON755353	Nambiar et al
PE100762	VOYAGER
PE100763	VOYAGER
AX753252	UNIVERSITY OF PENNSYLVANIA
AY69537c	Chen et al
AY695372	Chen et al
AY695373	Chen et al
AY695374	Chen et al
AY695375	Chen et al
BD393207	NEUROLOGIX
BD405233	BTG INTERNATIONAL LIMITED
CS435814	THE CLEVELAND CLINIC FOUNDATION
DI006503	UENO (Ueno et al)
DI392350	ISIS INNOVATION
FB292925	UNIVERSITY OF PENNSYLVANIA
FW506001	CHILDREN'S HOSPITAL INC
HW580763	ISIS INNOVATION
AF513851	Alvira et al
AX753246	UNIVERSITY OF PENNSYLVANIA
CQ972062	UNIVERSITY OF PENNSYLVANIA
JA062753	UNIVERSITY OF PENNSYLVANIA
JA232004	UNIVERSITY OF PENNSYLVANIA
JA232240	UNIVERSITY OF PENNSYLVANIA
JA400290	UNIVERSITY OF PENNSYLVANIA
JB292187	UNIV NORTH CAROLINA
LQ870194	VOYAGER
LX153642	UNIQURE
LY408694	UNIQURE
LY833226	VOYAGER
MB418524	VOYAGER
OF283721	VOYAGER
OF485116	VOYAGER
ON755357	Nambiar et al
ON755359	Nambiar et al
ON755360	Nambiar et al
PE100618	VOYAGER
PE468564	VOYAGER
NC_006260	Gao et al
MK163941	La Bella et al
MK139296	La Bella et al
MK139260	La Bella et al
MK163934	La Bella et al
MK139257	La Bella et al
MK139249	La Bella et al
MK163930	La Bella et al
MK139255	La Bella et al
MK139244	La Bella et al
JA400287	UNIVERSITY OF PENNSYLVANIA
JA062751	UNIVERSITY OF PENNSYLVANIA
JA232002	UNIVERSITY OF PENNSYLVANIA
LQ870278	VOYAGER
EU285562	Schmidt et al
MN765172	Tanzanian children
MB418507	VOYAGER
OF485100	VOYAGER
ON755362	Nambiar et al
ON755366	Nambiar et al
ON755348	Nambiar et al
PE100642	VOYAGER
MB418548	VOYAGER
PE100642	VOYAGER
PE100708	VOYAGER
LQ870215	VOYAGER
PE100632	VOYAGER
LQ870164	VOYAGER
NC_006261	Gao et al
MK163940	La Bella et al
PE100580	VOYAGER
LQ870114	VOYAGER
MB418486	VOYAGER
OF485247	VOYAGER
MB418655	VOYAGER
LQ870476	VOYAGER
PE100749	VOYAGER
OF485110	VOYAGER
MB418517	VOYAGER
MK163941	La Bella et al
MK139296	La Bella et al
MK139260	La Bella et al
MK163934	La Bella et al
MK139257	La Bella et al
MK139249	La Bella et al
MK163930	La Bella et al
MK139255	La Bella et al
MK139244	La Bella et al
JA400287	UNIVERSITY OF PENNSYLVANIA
JA062751	UNIVERSITY OF PENNSYLVANIA
JA232002	UNIVERSITY OF PENNSYLVANIA
LQ870278	VOYAGER
EU285562	Schmidt et al
MN765172	Cordey et al
MB418507	VOYAGER
OF485100	VOYAGER
ON755362	Nambiar et al
ON755366	Nambiar et al
ON755348	Nambiar et al
PE100642	VOYAGER
MB418548	VOYAGER
PE100642	VOYAGER
PE100708	VOYAGER
LQ870215	VOYAGER
PE100632	VOYAGER
LQ870164	VOYAGER
NC_006261	Gao et al
MB418516	VOYAGER
PE100610	VOYAGER
OF485109	VOYAGER
LQ870172	VOYAGER	
PE100611	VOYAGER
LQ870174	VOYAGER
JD011822	CHILDREN'S HOSPITAL INC
LQ220010	CHILDREN'S HOSPITAL INC
LP899424	CHILDREN'S HOSPITAL INC
PF122936	CHILDREN'S HOSPITAL INC
PE008384	CHILDREN'S HOSPITAL INC
OF296682	CHILDREN'S HOSPITAL INC
AY631965	Mori et al
OF485080	VOYAGER
NC_001729	Muramatsu et al
MB418606	VOYAGER
OF485198	VOYAGER
JA400288	UNIVERSITY OF PENNSYLVANIA
PE100699	VOYAGER
JA232236	UNIVERSITY OF PENNSYLVANIA
MK139252	La Bella et al
MK905734	Zhang et al
MK139290	La Bella et al
MZ364221	Sadiq et al
AY695376	Chen et al
JA232238	UNIVERSITY OF PENNSYLVANIA
PE100652	VOYAGER
MB418150	UNIVERSITY OF MINNESOTA
JA232000	UNIVERSITY OF PENNSYLVANIA
OF485197	VOYAGER
JA400286	UNIVERSITY OF PENNSYLVANIA
MB418605	VOYAGER
JA062749	UNIVERSITY OF PENNSYLVANIA
LQ870378	VOYAGER
MB418558	VOYAGER
OF485150	VOYAGER
OF485260	VOYAGER
LQ870508	VOYAGER
OF283700	VOYAGER
LQ870147	VOYAGER
ON755353	Nambiar et al
AF043303	Berns et al
MT709009	Cabanes-Creus et al
OP019741	Ho et al
OP019742	Ho et al
OP019743	Ho et al
OP019744	Ho et al
OP019745	Ho et al
OP019746	Ho et al
OP019747	Ho et al
OP019748	Ho et al
OP019749	Ho et al
MK139243	La Bella et al
MK139247	La Bella et al
MK139248	La Bella et al
MK139250	La Bella et al
MK139251	La Bella et al
MK139253	La Bella et al
MK139258	La Bella et al
MK139259	La Bella et al
MK139261	La Bella et al
MK139263	La Bella et al
MK139264	La Bella et al
MK139265	La Bella et al
MK139269	La Bella et al
MK139270	La Bella et al
MK139272	La Bella et al
MK139274	La Bella et al
MK139275	La Bella et al
MK139278	La Bella et al
MK139280	La Bella et al
MK139281	La Bella et al
MK139282	La Bella et al
MK139283	La Bella et al
MK139286	La Bella et al
MK139287	La Bella et al
MK139288	La Bella et al
MK139289	La Bella et al
MK139291	La Bella et al
MK139292	La Bella et al
MK139293	La Bella et al
MK139294	La Bella et al
MK139295	La Bella et al
MK139298	La Bella et al
MK139299	La Bella et al
OP161114	Morfopoulou et al
OP161115	Morfopoulou et al
OP161116	Morfopoulou et al
OP161117	Morfopoulou et al
OP161118	Morfopoulou et al
OP161119	Morfopoulou et al
OP161120	Morfopoulou et al
OP161121	Morfopoulou et al
OP161122	Morfopoulou et al
OP161123	Morfopoulou et al
OP161124	Morfopoulou et al
OP161125	Morfopoulou et al
OP161126	Morfopoulou et al
OP161127	Morfopoulou et al
OP161128	Morfopoulou et al
OP161129	Morfopoulou et al
OP161130	Morfopoulou et al
OP161131	Morfopoulou et al
OP161132	Morfopoulou et al
OP161133	Morfopoulou et al
OP161134	Morfopoulou et al
OF078830	Oxford University Innovation Limited
MN765173	Tanzanian children
MN765174	Tanzanian children
MN765176	Tanzanian children
MN765177	Tanzanian children
MN765179	Tanzanian children
MN765180	Tanzanian children
MN765181	Tanzanian children
MN765182	Tanzanian children
LX153637	UNIQURE
MP372428	UNIV CHILE
KY271943	UNIV NORTH CAROLINA
JA231989	UNIVERSITY OF PENNSYLVANIA
JA231992	UNIVERSITY OF PENNSYLVANIA
JA231993	UNIVERSITY OF PENNSYLVANIA
JA232225	UNIVERSITY OF PENNSYLVANIA
JA232228	UNIVERSITY OF PENNSYLVANIA
JA232229	UNIVERSITY OF PENNSYLVANIA
JA400275	UNIVERSITY OF PENNSYLVANIA
JA400278	UNIVERSITY OF PENNSYLVANIA
JA400279	UNIVERSITY OF PENNSYLVANIA
LQ870099	VOYAGER
LQ870100	VOYAGER
LQ870275	VOYAGER
LQ870383	VOYAGER
LQ870386	VOYAGER
LQ999771	VOYAGER
MB418479	VOYAGER
MB418480	VOYAGER
MB418555	VOYAGER
MB418608	VOYAGER
MB418610	VOYAGER
OF283677	VOYAGER
OF485073	VOYAGER
OF485074	VOYAGER
OF485147	VOYAGER
OF485200	VOYAGER
OF485202	VOYAGER
AY695371	Chen et al
AY695372	Chen et al
AY695373	Chen et al
AY695374	Chen et al
AY695375	Chen et al
BD094552	TAKARA
BD393207	NEUROLOGIX
BD405233	NEUROLOGIX
CS435814	THE CLEVELAND CLINIC FOUNDATION
DI006503	UENO (Ueno et al)
DI392350	ISIS INNOVATION
JA062738	UNIVERSITY OF PENNSYLVANIA
JA062741	UNIVERSITY OF PENNSYLVANIA
JA062742	UNIVERSITY OF PENNSYLVANIA
JA793972	ISIS INNOVATION
JB292181	UNIV NORTH CAROLINA
LQ396099	UNIV ARKANSAS
LQ864733	UNIV CHILE
LY408689	UNIQURE
LY833184	VOYAGER
LZ990128	ISIS INNOVATION
MK163931	La Bella et al
MK163932	La Bella et al
MK163935	La Bella et al
MK163938	La Bella et al
MK163939	La Bella et al
MK163942	La Bella et al
OQ130187	Lamson et al
OR119757	Leiden University Patient 5
OR129877	Leiden University Patient 5
OR129878	Leiden University Patient 5
OR129879	Leiden University Patient 5
PE100573	VOYAGER
PE100574	VOYAGER
PE100649	VOYAGER
PE100702	VOYAGER
PE100704	VOYAGER
PE468519	VOYAGER
PE468520	VOYAGER
PP621512	Yu et al
AX135805	UNIVERSITY OF ARKANSAS
AX282480	NEUROLOGIX
AX286292	BTG INTERNATIONAL LIMITED
AX753252	UNIVERSITY OF PENNSYLVANIA
FB292925	UNIVERSITY OF PENNSYLVANIA
FW506001	CHILDREN'S HOSPITAL INC
HW580763	ISIS INNOVATION
J01901	Srivastava et al
JA062746	UNIVERSITY OF PENNSYLVANIA
JA062748	UNIVERSITY OF PENNSYLVANIA
JA231997	UNIVERSITY OF PENNSYLVANIA
JA231999	UNIVERSITY OF PENNSYLVANIA
JA232233	UNIVERSITY OF PENNSYLVANIA
JA232235	UNIVERSITY OF PENNSYLVANIA
JA400283	UNIVERSITY OF PENNSYLVANIA
JA400285	UNIVERSITY OF PENNSYLVANIA
LQ870156	VOYAGER
LQ870158	VOYAGER
LQ870288	VOYAGER
LQ870289	VOYAGER
LX153645	UNIQURE
LY408697	UNIQURE
MB418508	VOYAGER
MB418509	VOYAGER
MB418565	VOYAGER
MB418566	VOYAGER
OF485101	VOYAGER
OF485102	VOYAGER
OF485157	VOYAGER
OF485158	VOYAGER
PE100602	VOYAGER
PE100603	VOYAGER
PE100659	VOYAGER
PE100660	VOYAGER
LY408696	Lubelski et ak\
OF485083	VOYAGER
AF028705	Rutledge
OF283688	VOYAGER