taxon	sequenceID	species	association	lineage	full_name	isolate	sampled_host_sci_name	pubmed_id
alignment/AL_AAV2/member/ncbi-nuccore-aav/OP161129	OP161129	AAV2	Morfopoulou et al	DependoA	adeno-associated virus 2	CONB23	Homo sapiens	36996872
alignment/AL_AAV2/member/ncbi-nuccore-aav/OP161130	OP161130	AAV2	Morfopoulou et al	DependoA	adeno-associated virus 2	CONS3	Homo sapiens	36996872
alignment/AL_AAV2/member/ncbi-nuccore-aav/OP161131	OP161131	AAV2	Morfopoulou et al	DependoA	adeno-associated virus 2	CONS6	Homo sapiens	36996872
alignment/AL_AAV2/member/ncbi-nuccore-aav/OP161132	OP161132	AAV2	Morfopoulou et al	DependoA	adeno-associated virus 2	CONB36	Homo sapiens	36996872
alignment/AL_AAV2/member/ncbi-nuccore-aav/OP161133	OP161133	AAV2	Morfopoulou et al	DependoA	adeno-associated virus 2	CONB37	Homo sapiens	36996872
alignment/AL_AAV2/member/ncbi-nuccore-aav/OP161134	OP161134	AAV2	Morfopoulou et al	DependoA	adeno-associated virus 2	CONB39	Homo sapiens	36996872
alignment/AL_AAV2/member/ncbi-nuccore-aav/OQ130187	OQ130187	AAV2	Lamson et al	DependoA	Dependoparvovirus primate1	UNMC-p-AAV2-HAdVC108v	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/OR119757	OR119757	AAV2	Leiden University	DependoA	adeno-associated virus 2	patient5	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/OR129877	OR129877	AAV2	Leiden University	DependoA	adeno-associated virus 2	patient5 biopsy	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/OR129878	OR129878	AAV2	Leiden University	DependoA	adeno-associated virus 2	patient2 plasma	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/OR129879	OR129879	AAV2	Leiden University	DependoA	adeno-associated virus 2	patient2 biopsy	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/PE100573	PE100573	AAV2	VOYAGER	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/PE100574	PE100574	AAV2	VOYAGER	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/PE100649	PE100649	AAV2	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/PE100702	PE100702	AAV2	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/PE100704	PE100704	AAV2	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/PE468519	PE468519	AAV2	VOYAGER	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/PE468520	PE468520	AAV2	VOYAGER	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/PP621512	PP621512	AAV2	Yu et al	DependoA	adeno-associated virus 2	MI	Homo sapiens	-
alignment/AL_AAV3/member/ncbi-nuccore-aav/AF028705	AF028705	AAV3	-	DependoA	Adeno-associated virus 3B	-	-	9420229
alignment/AL_AAV3/member/ncbi-nuccore-aav/AX753253	AX753253	AAV3	-	DependoA	Adeno-associated virus - 3	-	-	-
alignment/AL_AAV3/member/ncbi-nuccore-aav/DI393762	DI393762	AAV3	-	DependoA	Adeno-associated virus - 3	-	-	-
alignment/AL_AAV3/member/ncbi-nuccore-aav/HW608044	HW608044	AAV3	-	DependoA	Adeno-associated virus - 3	-	-	-
alignment/AL_AAV3/member/ncbi-nuccore-aav/JB292182	JB292182	AAV3	-	DependoA	Adeno-associated virus 3A	-	-	-
alignment/AL_AAV3/member/ncbi-nuccore-aav/JB292183	JB292183	AAV3	-	DependoA	Adeno-associated virus 3B	-	-	-
alignment/AL_AAV3/member/ncbi-nuccore-aav/JC278189	JC278189	AAV3	-	DependoA	Adeno-associated virus - 3	-	-	-
alignment/AL_AAV3/member/ncbi-nuccore-aav/JC285044	JC285044	AAV3	-	DependoA	Adeno-associated virus - 3	-	-	-
alignment/AL_AAV3/member/ncbi-nuccore-aav/LQ870119	LQ870119	AAV3	-	DependoA	Adeno-associated virus - 3	-	-	-
alignment/AL_AAV3/member/ncbi-nuccore-aav/LQ870127	LQ870127	AAV3	-	DependoA	Adeno-associated virus 3B	-	-	-
alignment/AL_AAV3/member/ncbi-nuccore-aav/LX153638	LX153638	AAV3	-	DependoA	Adeno-associated virus - 3	-	-	-
alignment/AL_AAV3/member/ncbi-nuccore-aav/LY408690	LY408690	AAV3	-	DependoA	Adeno-associated virus - 3	-	-	-
alignment/AL_AAV3/member/ncbi-nuccore-aav/LY833195	LY833195	AAV3	-	DependoA	Adeno-associated virus 3B	-	-	-
alignment/AL_AAV3/member/ncbi-nuccore-aav/LZ233296	LZ233296	AAV3	-	DependoA	Adeno-associated virus - 3	-	-	-
alignment/AL_AAV3/member/ncbi-nuccore-aav/MB418489	MB418489	AAV3	-	DependoA	Adeno-associated virus - 3	-	-	-
alignment/AL_AAV3/member/ncbi-nuccore-aav/MB418491	MB418491	AAV3	-	DependoA	Adeno-associated virus 3B	-	-	-
alignment/AL_AAV3/member/ncbi-refseqs/NC_001729	NC_001729	AAV3	Muramatsu et al	DependoA	Adeno-associated virus - 3	-	-	8661429
alignment/AL_AAV3/member/ncbi-nuccore-aav/OF116275	OF116275	AAV3	-	DependoA	Adeno-associated virus - 3	-	-	-
alignment/AL_AAV3/member/ncbi-nuccore-aav/OF283688	OF283688	AAV3	-	DependoA	Adeno-associated virus 3B	-	-	-
alignment/AL_AAV3/member/ncbi-nuccore-aav/OF485083	OF485083	AAV3	-	DependoA	Adeno-associated virus - 3	-	-	-
alignment/AL_AAV3/member/ncbi-nuccore-aav/OF485085	OF485085	AAV3	-	DependoA	Adeno-associated virus 3B	-	-	-
alignment/AL_AAV3/member/ncbi-nuccore-aav/PA554131	PA554131	AAV3	-	DependoA	Adeno-associated virus - 3	-	-	-
alignment/AL_AAV3/member/ncbi-nuccore-aav/PE100583	PE100583	AAV3	-	DependoA	Adeno-associated virus - 3	-	-	-
alignment/AL_AAV3/member/ncbi-nuccore-aav/PE100585	PE100585	AAV3	-	DependoA	Adeno-associated virus 3B	-	-	-
alignment/AL_AAV3/member/ncbi-nuccore-aav/PE468529	PE468529	AAV3	-	DependoA	Adeno-associated virus - 3	-	-	-
alignment/AL_AAV3/member/ncbi-nuccore-aav/PE468531	PE468531	AAV3	-	DependoA	Adeno-associated virus - 3	-	-	-
alignment/AL_AAV3/member/ncbi-nuccore-aav/U48704	U48704	AAV3	-	DependoA	Adeno-associated virus - 3	-	-	8661429
alignment/AL_AAV4/member/ncbi-nuccore-aav/DI393763	DI393763	AAV4	-	DependoA	Adeno-associated virus - 4	-	-	-
alignment/AL_AAV4/member/ncbi-nuccore-aav/HW608045	HW608045	AAV4	-	DependoA	Adeno-associated virus - 4	-	-	-
alignment/AL_AAV4/member/ncbi-nuccore-aav/JB292184	JB292184	AAV4	-	DependoA	Adeno-associated virus - 4	-	-	-
alignment/AL_AAV4/member/ncbi-nuccore-aav/JC278190	JC278190	AAV4	-	DependoA	Adeno-associated virus - 4	-	-	-
alignment/AL_AAV4/member/ncbi-nuccore-aav/JC285045	JC285045	AAV4	-	DependoA	Adeno-associated virus - 4	-	-	-
alignment/AL_AAV4/member/ncbi-nuccore-aav/LQ870147	LQ870147	AAV4	VOYAGER	DependoA	Adeno-associated virus - 4	-	-	-
alignment/AL_AAV4/member/ncbi-nuccore-aav/LX153639	LX153639	AAV4	-	DependoA	Adeno-associated virus - 4	-	-	-
alignment/AL_AAV4/member/ncbi-nuccore-aav/LY408691	LY408691	AAV4	-	DependoA	Adeno-associated virus - 4	-	-	-
alignment/AL_AAV4/member/ncbi-nuccore-aav/LY833207	LY833207	AAV4	-	DependoA	Adeno-associated virus - 4	-	-	-
alignment/AL_AAV4/member/ncbi-nuccore-aav/LZ233297	LZ233297	AAV4	-	DependoA	Adeno-associated virus - 4	-	-	-
alignment/AL_AAV4/member/ncbi-nuccore-aav/MB418503	MB418503	AAV4	-	DependoA	Adeno-associated virus - 4	-	-	-
alignment/AL_AAV4/member/ncbi-refseqs/NC_001829	NC_001829	AAV4	Chiorini et  al	DependoA	Adeno-associated virus - 4	ATCC VR-646	-	9261407
alignment/AL_AAV4/member/ncbi-nuccore-aav/OF116276	OF116276	AAV4	-	DependoA	Adeno-associated virus - 4	-	-	-
alignment/AL_AAV4/member/ncbi-nuccore-aav/OF283700	OF283700	AAV4	VOYAGER	DependoA	Adeno-associated virus - 4	-	-	-
alignment/AL_AAV4/member/ncbi-nuccore-aav/OF485097	OF485097	AAV4	-	DependoA	Adeno-associated virus - 4	-	-	-
alignment/AL_AAV4/member/ncbi-nuccore-aav/PA554132	PA554132	AAV4	-	DependoA	Adeno-associated virus - 4	-	-	-
alignment/AL_AAV4/member/ncbi-nuccore-aav/PE100597	PE100597	AAV4	-	DependoA	Adeno-associated virus - 4	-	-	-
alignment/AL_AAV4/member/ncbi-nuccore-aav/PE468543	PE468543	AAV4	-	DependoA	Adeno-associated virus - 4	-	-	-
alignment/AL_AAV4/member/ncbi-nuccore-aav/U89790	U89790	AAV4	-	DependoA	Adeno-associated virus - 4	ATCC VR-646	-	9261407
alignment/AL_AAV6/member/ncbi-refseqs/AF028704	AF028704	AAV6	Rutledge et al	DependoA	Adeno-associated virus - 6	-	-	9420229
alignment/AL_AAV6/member/ncbi-nuccore-aav/FB292926	FB292926	AAV6	UNIVERSITY OF PENNSYLVANIA	DependoA	Adeno-associated virus - 6	-	-	-
alignment/AL_AAV6/member/ncbi-nuccore-aav/JB292186	JB292186	AAV6	UNIV NORTH CAROLINA	DependoA	Adeno-associated virus - 6	-	-	-
alignment/AL_AAV6/member/ncbi-nuccore-aav/LQ396105	LQ396105	AAV6	UNIV ARKANSAS 	DependoA	Adeno-associated virus - 6	-	-	-
alignment/AL_AAV6/member/ncbi-nuccore-aav/LQ870184	LQ870184	AAV6	VOYAGER	DependoA	Adeno-associated virus - 6	-	-	-
alignment/AL_AAV6/member/ncbi-nuccore-aav/LX153641	LX153641	AAV6	UNIQURE IP B.V	DependoA	Adeno-associated virus - 6	-	-	-
alignment/AL_AAV6/member/ncbi-nuccore-aav/LY408693	LY408693	AAV6	Lubelski et al	DependoA	Adeno-associated virus - 6	-	-	-
alignment/AL_AAV6/member/ncbi-nuccore-aav/LY833223	LY833223	AAV6	VOYAGER	DependoA	Adeno-associated virus - 6	-	-	-
alignment/AL_AAV6/member/ncbi-nuccore-aav/MB418521	MB418521	AAV6	VOYAGER	DependoA	Adeno-associated virus - 6	-	-	-
alignment/AL_AAV6/member/ncbi-nuccore-aav/MQ105706	MQ105706	AAV6	-	DependoA	Adeno-associated virus - 6	-	-	-
alignment/AL_AAV6/member/ncbi-nuccore-aav/OF283718	OF283718	AAV6	-	DependoA	Adeno-associated virus - 6	-	-	-
alignment/AL_AAV6/member/ncbi-nuccore-aav/OF485113	OF485113	AAV6	-	DependoA	Adeno-associated virus - 6	-	-	-
alignment/AL_AAV6/member/ncbi-nuccore-aav/PE100615	PE100615	AAV6	-	DependoA	Adeno-associated virus - 6	-	-	-
alignment/AL_AAV6/member/ncbi-nuccore-aav/PE468561	PE468561	AAV6	-	DependoA	Adeno-associated virus - 6	-	-	-
alignment/AL_AAV7/member/ncbi-nuccore-aav/AF513851	AF513851	AAV7	Alvira et al	DependoA	adeno-associated virus 7	-	Macaca mulatta	12192090
alignment/AL_AAV7/member/ncbi-nuccore-aav/AX753246	AX753246	AAV7	UNIVERSITY OF PENNSYLVANIA	DependoA	adeno-associated virus 7	-	-	-
alignment/AL_AAV7/member/ncbi-nuccore-aav/CQ972062	CQ972062	AAV7	UNIVERSITY OF PENNSYLVANIA	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV7/member/ncbi-nuccore-aav/JA062753	JA062753	AAV7	UNIVERSITY OF PENNSYLVANIA	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV7/member/ncbi-nuccore-aav/JA232004	JA232004	AAV7	UNIVERSITY OF PENNSYLVANIA	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV7/member/ncbi-nuccore-aav/JA232240	JA232240	AAV7	UNIVERSITY OF PENNSYLVANIA	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV7/member/ncbi-nuccore-aav/JA400290	JA400290	AAV7	UNIVERSITY OF PENNSYLVANIA	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV7/member/ncbi-nuccore-aav/JB292187	JB292187	AAV7	UNIV NORTH CAROLINA	DependoA	adeno-associated virus 7	-	-	-
alignment/AL_AAV7/member/ncbi-nuccore-aav/LQ870194	LQ870194	AAV7	VOYAGER	DependoA	adeno-associated virus 7	-	-	-
alignment/AL_AAV7/member/ncbi-nuccore-aav/LX153642	LX153642	AAV7	UNIQURE IP B.V	DependoA	adeno-associated virus 7	-	-	-
alignment/AL_AAV7/member/ncbi-nuccore-aav/LY408694	LY408694	AAV7	UNIQURE IP B.V	DependoA	adeno-associated virus 7	-	-	-
alignment/AL_AAV7/member/ncbi-nuccore-aav/LY833226	LY833226	AAV7	VOYAGER	DependoA	adeno-associated virus 7	-	-	-
alignment/AL_AAV7/member/ncbi-nuccore-aav/MB418524	MB418524	AAV7	VOYAGER	DependoA	adeno-associated virus 7	-	-	-
alignment/AL_AAV7/member/ncbi-refseqs/NC_006260	NC_006260	AAV7	Gao et al	DependoA	adeno-associated virus 7	-	Macaca mulatta	12192090
alignment/AL_AAV7/member/ncbi-nuccore-aav/OF283721	OF283721	AAV7	VOYAGER	DependoA	adeno-associated virus 7	-	-	-
alignment/AL_AAV7/member/ncbi-nuccore-aav/OF485116	OF485116	AAV7	VOYAGER	DependoA	adeno-associated virus 7	-	-	-
alignment/AL_AAV7/member/ncbi-nuccore-aav/ON755357	ON755357	AAV7	Nambiar et al	DependoA	Adeno-associated virus	AAVrh94_FL	Macaca mulatta	35906801
alignment/AL_AAV7/member/ncbi-nuccore-aav/ON755359	ON755359	AAV7	Nambiar et al	DependoA	Adeno-associated virus	AAVrh95.R1_FL	Macaca mulatta	35906801
alignment/AL_AAV7/member/ncbi-nuccore-aav/ON755360	ON755360	AAV7	Nambiar et al	DependoA	Adeno-associated virus	AAVrh95_FL	Macaca mulatta	35906801
alignment/AL_AAV7/member/ncbi-nuccore-aav/PE100618	PE100618	AAV7	VOYAGER	DependoA	adeno-associated virus 7	-	-	-
alignment/AL_AAV7/member/ncbi-nuccore-aav/PE468564	PE468564	AAV7	VOYAGER	DependoA	adeno-associated virus 7	-	-	-
alignment/AL_AAV8/member/ncbi-nuccore-aav/AF513852	AF513852	AAV8	-	DependoA	adeno-associated virus 8	-	Macaca mulatta	12192090
alignment/AL_AAV8/member/ncbi-nuccore-aav/AX753249	AX753249	AAV8	-	DependoA	adeno-associated virus 8	-	-	-
alignment/AL_AAV8/member/ncbi-nuccore-aav/CQ972063	CQ972063	AAV8	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV8/member/ncbi-nuccore-aav/HW917029	HW917029	AAV8	-	DependoA	adeno-associated virus 8	-	-	-
alignment/AL_AAV8/member/ncbi-nuccore-aav/JA062755	JA062755	AAV8	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV8/member/ncbi-nuccore-aav/JA232006	JA232006	AAV8	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV8/member/ncbi-nuccore-aav/JA232242	JA232242	AAV8	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV8/member/ncbi-nuccore-aav/JA400292	JA400292	AAV8	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV8/member/ncbi-nuccore-aav/JA431384	JA431384	AAV8	-	DependoA	adeno-associated virus 8	-	-	-
alignment/AL_AAV8/member/ncbi-nuccore-aav/JB292188	JB292188	AAV8	-	DependoA	adeno-associated virus 8	-	-	-
alignment/AL_AAV8/member/ncbi-nuccore-aav/LQ870090	LQ870090	AAV8	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV8/member/ncbi-nuccore-aav/LQ870199	LQ870199	AAV8	-	DependoA	adeno-associated virus 8	-	-	-
alignment/AL_AAV8/member/ncbi-nuccore-aav/LX153643	LX153643	AAV8	-	DependoA	adeno-associated virus 8	-	-	-
alignment/AL_AAV8/member/ncbi-nuccore-aav/LY408695	LY408695	AAV8	-	DependoA	adeno-associated virus 8	-	-	-
alignment/AL_AAV8/member/ncbi-nuccore-aav/LY833230	LY833230	AAV8	-	DependoA	adeno-associated virus 8	-	-	-
alignment/AL_AAV8/member/ncbi-nuccore-aav/MB418474	MB418474	AAV8	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV8/member/ncbi-nuccore-aav/MB418528	MB418528	AAV8	-	DependoA	adeno-associated virus 8	-	-	-
alignment/AL_AAV8/member/ncbi-nuccore-aav/MP406981	MP406981	AAV8	-	DependoA	adeno-associated virus 8	-	-	-
alignment/AL_AAV8/member/ncbi-nuccore-aav/MQ105707	MQ105707	AAV8	-	DependoA	adeno-associated virus 8	-	-	-
alignment/AL_AAV8/member/ncbi-refseqs/NC_006261	NC_006261	AAV8	Gao et al	DependoA	adeno-associated virus 8	-	Macaca mulatta	12192090
alignment/AL_AAV8/member/ncbi-nuccore-aav/OF283725	OF283725	AAV8	-	DependoA	adeno-associated virus 8	-	-	-
alignment/AL_AAV8/member/ncbi-nuccore-aav/OF485068	OF485068	AAV8	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV8/member/ncbi-nuccore-aav/OF485120	OF485120	AAV8	-	DependoA	adeno-associated virus 8	-	-	-
alignment/AL_AAV8/member/ncbi-nuccore-aav/PE100568	PE100568	AAV8	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV8/member/ncbi-nuccore-aav/PE100622	PE100622	AAV8	-	DependoA	adeno-associated virus 8	-	-	-
alignment/AL_AAV8/member/ncbi-nuccore-aav/PE468568	PE468568	AAV8	-	DependoA	adeno-associated virus 8	-	-	-
alignment/AL_AAV9/member/ncbi-refseqs/AX753250	AX753250	AAV9	UNIVERSITY OF PENNSYLVANIA	DependoA	Adeno-associated virus 9	-	-	-
alignment/AL_AAV9/member/ncbi-nuccore-aav/JB292189	JB292189	AAV9	-	DependoA	Adeno-associated virus 9	-	-	-
alignment/AL_AAV9/member/ncbi-nuccore-aav/LQ870207	LQ870207	AAV9	-	DependoA	Adeno-associated virus 9	-	-	-
alignment/AL_AAV9/member/ncbi-nuccore-aav/LQ870208	LQ870208	AAV9	-	DependoA	Adeno-associated virus 9	-	-	-
alignment/AL_AAV9/member/ncbi-nuccore-aav/LX153644	LX153644	AAV9	-	DependoA	Adeno-associated virus 9	-	-	-
alignment/AL_AAV9/member/ncbi-nuccore-aav/LX153677	LX153677	AAV9	-	DependoA	Adeno-associated virus 9	-	-	-
alignment/AL_AAV9/member/ncbi-nuccore-aav/LY408696	LY408696	AAV9	-	DependoA	Adeno-associated virus 9	-	-	-
alignment/AL_AAV9/member/ncbi-nuccore-aav/LY408729	LY408729	AAV9	-	DependoA	Adeno-associated virus 9	-	-	-
alignment/AL_AAV9/member/ncbi-nuccore-aav/LY833234	LY833234	AAV9	-	DependoA	Adeno-associated virus 9	-	-	-
alignment/AL_AAV9/member/ncbi-nuccore-aav/LY833235	LY833235	AAV9	-	DependoA	Adeno-associated virus 9	-	-	-
alignment/AL_AAV9/member/ncbi-nuccore-aav/MB418532	MB418532	AAV9	-	DependoA	Adeno-associated virus 9	-	-	-
alignment/AL_AAV9/member/ncbi-nuccore-aav/MB418533	MB418533	AAV9	-	DependoA	Adeno-associated virus 9	-	-	-
alignment/AL_AAV9/member/ncbi-nuccore-aav/OF283729	OF283729	AAV9	-	DependoA	Adeno-associated virus 9	-	-	-
alignment/AL_AAV9/member/ncbi-nuccore-aav/OF283730	OF283730	AAV9	-	DependoA	Adeno-associated virus 9	-	-	-
alignment/AL_AAV9/member/ncbi-nuccore-aav/OF485124	OF485124	AAV9	-	DependoA	Adeno-associated virus 9	-	-	-
alignment/AL_AAV9/member/ncbi-nuccore-aav/OF485125	OF485125	AAV9	-	DependoA	Adeno-associated virus 9	-	-	-
alignment/AL_AAV9/member/ncbi-nuccore-aav/PE100626	PE100626	AAV9	-	DependoA	Adeno-associated virus 9	-	-	-
alignment/AL_AAV9/member/ncbi-nuccore-aav/PE100627	PE100627	AAV9	-	DependoA	Adeno-associated virus 9	-	-	-
alignment/AL_AAV9/member/ncbi-nuccore-aav/PE468572	PE468572	AAV9	-	DependoA	Adeno-associated virus 9	-	-	-
alignment/AL_AAV9/member/ncbi-nuccore-aav/PE468573	PE468573	AAV9	-	DependoA	Adeno-associated virus 9	-	-	-
